family,model_id,size_rank,is_reasoning,task,n,acc
deepseek,deepseek-chat,2,False,digit_matrix,314,0.6751592356687898
deepseek,deepseek-chat,2,False,letter_string,224,0.26339285714285715
deepseek,deepseek-chat,2,False,story_analogy,72,0.25
deepseek,deepseek-chat,2,False,verbal_kmiecik,160,0.75625
deepseek,deepseek-chat,2,False,verbal_sternberg,197,0.8781725888324873
deepseek,deepseek-chat,2,False,verbal_ucla_vat,80,0.95
deepseek,deepseek-reasoner,2,True,digit_matrix,314,0.8885350318471338
deepseek,deepseek-reasoner,2,True,letter_string,224,0.5178571428571429
deepseek,deepseek-reasoner,2,True,story_analogy,72,0.3611111111111111
deepseek,deepseek-reasoner,2,True,verbal_kmiecik,160,0.825
deepseek,deepseek-reasoner,2,True,verbal_sternberg,197,0.9543147208121827
deepseek,deepseek-reasoner,2,True,verbal_ucla_vat,80,0.9875
gpt-4.1,gpt-4.1-nano,0,False,digit_matrix,314,0.4426751592356688
gpt-4.1,gpt-4.1-nano,0,False,letter_string,224,0.13392857142857142
gpt-4.1,gpt-4.1-nano,0,False,story_analogy,72,0.09722222222222222
gpt-4.1,gpt-4.1-nano,0,False,verbal_kmiecik,160,0.6375
gpt-4.1,gpt-4.1-nano,0,False,verbal_sternberg,197,0.7868020304568528
gpt-4.1,gpt-4.1-nano,0,False,verbal_ucla_vat,80,0.85
gpt-4.1,gpt-4.1-mini,1,False,digit_matrix,314,0.7165605095541401
gpt-4.1,gpt-4.1-mini,1,False,letter_string,224,0.22767857142857142
gpt-4.1,gpt-4.1-mini,1,False,story_analogy,72,0.1111111111111111
gpt-4.1,gpt-4.1-mini,1,False,verbal_kmiecik,160,0.7125
gpt-4.1,gpt-4.1-mini,1,False,verbal_sternberg,197,0.9137055837563451
gpt-4.1,gpt-4.1-mini,1,False,verbal_ucla_vat,80,0.95
gpt-4.1,gpt-4.1,2,False,digit_matrix,314,0.8184713375796179
gpt-4.1,gpt-4.1,2,False,letter_string,224,0.40625
gpt-4.1,gpt-4.1,2,False,story_analogy,72,0.125
gpt-4.1,gpt-4.1,2,False,verbal_kmiecik,160,0.73125
gpt-4.1,gpt-4.1,2,False,verbal_sternberg,197,0.9441624365482234
gpt-4.1,gpt-4.1,2,False,verbal_ucla_vat,80,0.9875
gpt-4o,gpt-4o-mini,1,False,digit_matrix,314,0.5063694267515924
gpt-4o,gpt-4o-mini,1,False,letter_string,224,0.21428571428571427
gpt-4o,gpt-4o-mini,1,False,story_analogy,72,0.3333333333333333
gpt-4o,gpt-4o-mini,1,False,verbal_kmiecik,160,0.71875
gpt-4o,gpt-4o-mini,1,False,verbal_sternberg,197,0.8426395939086294
gpt-4o,gpt-4o-mini,1,False,verbal_ucla_vat,80,0.95
gpt-4o,gpt-4o,2,False,digit_matrix,314,0.7229299363057324
gpt-4o,gpt-4o,2,False,letter_string,224,0.34375
gpt-4o,gpt-4o,2,False,story_analogy,72,0.013888888888888888
gpt-4o,gpt-4o,2,False,verbal_kmiecik,160,0.76875
gpt-4o,gpt-4o,2,False,verbal_sternberg,197,0.9238578680203046
gpt-4o,gpt-4o,2,False,verbal_ucla_vat,80,0.9625
gpt-5,gpt-5-nano,0,False,digit_matrix,314,0.8152866242038217
gpt-5,gpt-5-nano,0,False,letter_string,224,0.30357142857142855
gpt-5,gpt-5-nano,0,False,story_analogy,72,0.3333333333333333
gpt-5,gpt-5-nano,0,False,verbal_kmiecik,160,0.8375
gpt-5,gpt-5-nano,0,False,verbal_sternberg,197,0.9137055837563451
gpt-5,gpt-5-nano,0,False,verbal_ucla_vat,80,0.9625
gpt-5,gpt-5-mini,1,False,digit_matrix,314,0.945859872611465
gpt-5,gpt-5-mini,1,False,letter_string,224,0.46875
gpt-5,gpt-5-mini,1,False,story_analogy,72,0.7638888888888888
gpt-5,gpt-5-mini,1,False,verbal_kmiecik,160,0.85
gpt-5,gpt-5-mini,1,False,verbal_sternberg,197,0.9644670050761421
gpt-5,gpt-5-mini,1,False,verbal_ucla_vat,80,0.975
gpt-5,gpt-5,2,False,digit_matrix,314,0.9394904458598726
gpt-5,gpt-5,2,False,letter_string,223,0.5919282511210763
gpt-5,gpt-5,2,False,story_analogy,72,0.7638888888888888
gpt-5,gpt-5,2,False,verbal_kmiecik,160,0.825
gpt-5,gpt-5,2,False,verbal_sternberg,197,0.9746192893401016
gpt-5,gpt-5,2,False,verbal_ucla_vat,80,0.975
o-reasoning,o3-mini,1,True,digit_matrix,314,0.9490445859872612
o-reasoning,o3-mini,1,True,letter_string,224,0.4955357142857143
o-reasoning,o3-mini,1,True,story_analogy,72,0.4444444444444444
o-reasoning,o3-mini,1,True,verbal_kmiecik,160,0.71875
o-reasoning,o3-mini,1,True,verbal_sternberg,197,0.9187817258883249
o-reasoning,o3-mini,1,True,verbal_ucla_vat,80,0.9875
o-reasoning,o4-mini,1,True,digit_matrix,314,0.9394904458598726
o-reasoning,o4-mini,1,True,letter_string,224,0.5848214285714286
o-reasoning,o4-mini,1,True,story_analogy,72,0.3333333333333333
o-reasoning,o4-mini,1,True,verbal_kmiecik,160,0.8375
o-reasoning,o4-mini,1,True,verbal_sternberg,197,0.9441624365482234
o-reasoning,o4-mini,1,True,verbal_ucla_vat,80,0.9875
