model,task,acc
deepseek-chat,Digit Matrices,0.6751592356687898
deepseek-chat,Four-term Verbal Analogies,0.8466819221967964
deepseek-chat,Letter String Analogies,0.26339285714285715
deepseek-chat,Story Analogies,0.25
deepseek-reasoner,Digit Matrices,0.8885350318471338
deepseek-reasoner,Four-term Verbal Analogies,0.9130434782608695
deepseek-reasoner,Letter String Analogies,0.5178571428571429
deepseek-reasoner,Story Analogies,0.3611111111111111
gpt-3.5-turbo-instruct,Digit Matrices,0.1178343949044586
gpt-3.5-turbo-instruct,Four-term Verbal Analogies,0.6453089244851259
gpt-3.5-turbo-instruct,Letter String Analogies,0.049107142857142856
gpt-3.5-turbo-instruct,Story Analogies,0.0
gpt-4.1,Digit Matrices,0.8184713375796179
gpt-4.1,Four-term Verbal Analogies,0.8741418764302059
gpt-4.1,Letter String Analogies,0.40625
gpt-4.1,Story Analogies,0.125
gpt-4.1-mini,Digit Matrices,0.7165605095541401
gpt-4.1-mini,Four-term Verbal Analogies,0.8466819221967964
gpt-4.1-mini,Letter String Analogies,0.22767857142857142
gpt-4.1-mini,Story Analogies,0.1111111111111111
gpt-4.1-nano,Digit Matrices,0.4426751592356688
gpt-4.1-nano,Four-term Verbal Analogies,0.7437070938215103
gpt-4.1-nano,Letter String Analogies,0.13392857142857142
gpt-4.1-nano,Story Analogies,0.09722222222222222
gpt-4o,Digit Matrices,0.7229299363057324
gpt-4o,Four-term Verbal Analogies,0.8741418764302059
gpt-4o,Letter String Analogies,0.34375
gpt-4o,Story Analogies,0.013888888888888888
gpt-4o-mini,Digit Matrices,0.5063694267515924
gpt-4o-mini,Four-term Verbal Analogies,0.816933638443936
gpt-4o-mini,Letter String Analogies,0.21428571428571427
gpt-4o-mini,Story Analogies,0.3333333333333333
gpt-5,Digit Matrices,0.9394904458598726
gpt-5,Four-term Verbal Analogies,0.919908466819222
gpt-5,Letter String Analogies,0.5919282511210763
gpt-5,Story Analogies,0.7638888888888888
gpt-5-mini,Digit Matrices,0.945859872611465
gpt-5-mini,Four-term Verbal Analogies,0.9244851258581236
gpt-5-mini,Letter String Analogies,0.46875
gpt-5-mini,Story Analogies,0.7638888888888888
gpt-5-nano,Digit Matrices,0.8152866242038217
gpt-5-nano,Four-term Verbal Analogies,0.8947368421052632
gpt-5-nano,Letter String Analogies,0.30357142857142855
gpt-5-nano,Story Analogies,0.3333333333333333
o3-mini,Digit Matrices,0.9490445859872612
o3-mini,Four-term Verbal Analogies,0.8581235697940504
o3-mini,Letter String Analogies,0.4955357142857143
o3-mini,Story Analogies,0.4444444444444444
o4-mini,Digit Matrices,0.9394904458598726
o4-mini,Four-term Verbal Analogies,0.9130434782608695
o4-mini,Letter String Analogies,0.5848214285714286
o4-mini,Story Analogies,0.3333333333333333
